,CH4,CO2,N2O,Time,Date
1,2315965   ,0         ,131691    ,3:53:38PM      ,6/24/2026      
2,2787920   ,0         ,146500    ,4:06:57PM      ,6/24/2026      
3,56116     ,0         ,6271      ,4:20:17PM      ,6/24/2026      
4,0         ,0         ,923703    ,4:33:40PM      ,6/24/2026      
5,10457     ,3134      ,58233     ,4:47:00PM      ,6/24/2026      
6,2848644   ,0         ,147115    ,5:00:20PM      ,6/24/2026      
7,55121     ,0         ,0         ,5:13:40PM      ,6/24/2026      
8,0         ,0         ,921724    ,5:27:02PM      ,6/24/2026      
9,10453     ,2856      ,55139     ,5:40:22PM      ,6/24/2026      
10,12522     ,2325      ,56494     ,5:53:43PM      ,6/24/2026      
11,34184     ,1901      ,55978     ,6:07:05PM      ,6/24/2026      
12,54584     ,3294      ,56354     ,6:20:25PM      ,6/24/2026      
13,94391     ,2732      ,56415     ,6:33:45PM      ,6/24/2026      
14,12297     ,1767      ,56071     ,6:47:07PM      ,6/24/2026      
15,25460     ,2575      ,55076     ,7:00:26PM      ,6/24/2026      
16,28497     ,1930      ,54872     ,7:13:46PM      ,6/24/2026      
17,26846     ,1938      ,55777     ,7:27:07PM      ,6/24/2026      
18,2854667   ,0         ,143911    ,7:40:27PM      ,6/24/2026      
19,11977     ,1701      ,54858     ,7:53:49PM      ,6/24/2026      
20,25431     ,2820      ,55198     ,8:07:08PM      ,6/24/2026      
21,31040     ,1816      ,54512     ,8:20:29PM      ,6/24/2026      
22,33052     ,3217      ,54472     ,8:33:48PM      ,6/24/2026      
23,12289     ,1658      ,54468     ,8:47:10PM      ,6/24/2026      
24,11307     ,1677      ,55105     ,9:00:31PM      ,6/24/2026      
25,43275     ,3196      ,55701     ,9:13:51PM      ,6/24/2026      
26,57478     ,2081      ,55519     ,9:27:10PM      ,6/24/2026      
27,54766     ,0         ,0         ,9:40:33PM      ,6/24/2026      
28,12534     ,1714      ,53347     ,9:53:53PM      ,6/24/2026      
29,26391     ,1930      ,55892     ,10:07:12PM     ,6/24/2026      
30,37336     ,2053      ,56114     ,10:20:32PM     ,6/24/2026      
31,47012     ,2180      ,55601     ,10:33:54PM     ,6/24/2026      
32,15126     ,1803      ,56636     ,10:47:15PM     ,6/24/2026      
33,44131     ,1982      ,57022     ,11:00:34PM     ,6/24/2026      
34,65722     ,2232      ,56409     ,11:13:55PM     ,6/24/2026      
35,83299     ,3743      ,55791     ,11:27:16PM     ,6/24/2026      
36,0         ,0         ,933741    ,11:40:36PM     ,6/24/2026      
37,12293     ,1690      ,54660     ,11:53:56PM     ,6/24/2026      
38,31119     ,1832      ,54093     ,12:07:17AM     ,6/25/2026      
39,45212     ,2095      ,54808     ,12:20:37AM     ,6/25/2026      
40,55537     ,2149      ,54202     ,12:33:57AM     ,6/25/2026      
41,12115     ,1750      ,54023     ,12:47:18AM     ,6/25/2026      
42,20746     ,1887      ,54368     ,1:00:38AM      ,6/25/2026      
43,21340     ,1993      ,55837     ,1:13:59AM      ,6/25/2026      
44,25874     ,2024      ,54599     ,1:27:19AM      ,6/25/2026      
45,10220     ,3034      ,55788     ,1:40:42AM      ,6/25/2026      
46,11855     ,3072      ,55441     ,1:54:01AM      ,6/25/2026      
47,17683     ,1915      ,55343     ,2:07:22AM      ,6/25/2026      
48,21365     ,1936      ,55711     ,2:20:41AM      ,6/25/2026      
49,24923     ,2054      ,55056     ,2:34:03AM      ,6/25/2026      
50,14469     ,1938      ,55807     ,2:47:22AM      ,6/25/2026      
51,24859     ,5923      ,55441     ,3:00:44AM      ,6/25/2026      
52,35371     ,9835      ,54191     ,3:14:04AM      ,6/25/2026      
53,42556     ,11078     ,53713     ,3:27:24AM      ,6/25/2026      
54,2846213   ,0         ,143398    ,3:40:46AM      ,6/25/2026      
55,15388     ,1805      ,55596     ,3:54:06AM      ,6/25/2026      
56,41630     ,4561      ,56129     ,4:07:25AM      ,6/25/2026      
57,69926     ,7483      ,55169     ,4:20:47AM      ,6/25/2026      
58,97548     ,10407     ,54415     ,4:34:07AM      ,6/25/2026      
59,15759     ,1769      ,55846     ,4:47:26AM      ,6/25/2026      
60,89868     ,3088      ,56449     ,5:00:48AM      ,6/25/2026      
61,11821     ,1746      ,55383     ,5:14:08AM      ,6/25/2026      
62,247019    ,5708      ,56848     ,5:27:29AM      ,6/25/2026      
63,55150     ,0         ,0         ,5:40:49AM      ,6/25/2026      
64,15851     ,1790      ,55216     ,5:54:09AM      ,6/25/2026      
65,103163    ,3241      ,55475     ,6:07:30AM      ,6/25/2026      
66,188136    ,4595      ,56477     ,6:20:50AM      ,6/25/2026      
67,293977    ,6359      ,56897     ,6:34:12AM      ,6/25/2026      
68,13474     ,1800      ,55738     ,6:47:32AM      ,6/25/2026      
69,19997     ,4598      ,55078     ,7:00:51AM      ,6/25/2026      
70,27017     ,9264      ,55136     ,7:14:13AM      ,6/25/2026      
71,33203     ,10501     ,54569     ,7:27:32AM      ,6/25/2026      
72,0         ,0         ,937694    ,7:40:54AM      ,6/25/2026      
73,14650     ,1958      ,56193     ,7:54:14AM      ,6/25/2026      
74,28920     ,4617      ,54991     ,8:07:36AM      ,6/25/2026      
75,43105     ,9002      ,54313     ,8:20:55AM      ,6/25/2026      
76,60518     ,12987     ,53499     ,8:34:18AM      ,6/25/2026      
77,19515     ,1957      ,55998     ,8:47:37AM      ,6/25/2026      
78,98848     ,4416      ,55364     ,9:00:57AM      ,6/25/2026      
79,192444    ,7285      ,56729     ,9:14:19AM      ,6/25/2026      
80,262450    ,9526      ,56658     ,9:27:39AM      ,6/25/2026      
81,11036     ,1800      ,57217     ,9:41:01AM      ,6/25/2026      
82,13745     ,1811      ,55906     ,9:54:20AM      ,6/25/2026      
83,26446     ,5103      ,55051     ,10:07:42AM     ,6/25/2026      
84,40514     ,8996      ,56481     ,10:21:01AM     ,6/25/2026      
85,56949     ,13103     ,56338     ,10:34:21AM     ,6/25/2026      
86,13747     ,1937      ,55979     ,10:47:41AM     ,6/25/2026      
87,15663     ,6653      ,55068     ,11:01:03AM     ,6/25/2026      
88,18181     ,9917      ,56781     ,11:14:24AM     ,6/25/2026      
89,19973     ,13859     ,56089     ,11:27:44AM     ,6/25/2026      
90,2838274   ,0         ,147628    ,11:41:04AM     ,6/25/2026      
91,54523     ,0         ,6794      ,11:54:24AM     ,6/25/2026      
